state_name,crop_name,apy_item_interval_start,temperature_recorded_date,state_temperature_max_val,state_temperature_min_val,state_rainfall_val,yield,FRL,Live Cap FRL,Level,Current Live Storage
Andhra Pradesh,potato,2012,14-02-2012,35.11,16.97,0,15.31692,337.152584,0.198465368,172.9957938,0.580703038
Andhra Pradesh,potato,2012,15-02-2012,35.37,16.16,0,15.31692,337.152584,0.198465368,172.9491271,0.574278334
Andhra Pradesh,potato,2012,16-02-2012,35.77,15.88,0,15.31692,337.152584,0.198465368,172.8746827,0.567411139
Andhra Pradesh,potato,2012,17-02-2012,35,17.12,0,15.31692,337.152584,0.198465368,172.7985449,0.555296985
Andhra Pradesh,potato,2012,18-02-2012,34.47,17.27,0,15.31692,337.152584,0.198465368,172.719656,0.544264411
Andhra Pradesh,potato,2012,19-02-2012,35.79,16.14,0,15.31692,337.152584,0.198465368,172.6929893,0.542719546
Andhra Pradesh,potato,2012,20-02-2012,36.66,14.69,0,15.31692,337.152584,0.198465368,172.5846293,0.523661405
Andhra Pradesh,potato,2012,21-02-2012,37.02,15.86,0,15.31692,337.152584,0.198465368,172.5079627,0.516063979
Andhra Pradesh,potato,2012,22-02-2012,36.54,15.79,0,15.31692,337.152584,0.198465368,172.4624071,0.510317279
Andhra Pradesh,potato,2012,23-02-2012,37.35,16.66,0,15.31692,337.152584,0.198465368,172.4151582,0.506351525
Andhra Pradesh,potato,2012,24-02-2012,37.32,15.38,0,15.31692,337.152584,0.198465368,172.3673804,0.501296339
Andhra Pradesh,potato,2012,25-02-2012,37.42,15.27,0,15.31692,337.152584,0.198465368,172.3062693,0.495063203
Andhra Pradesh,potato,2012,26-02-2012,37.03,14.27,0,15.31692,337.152584,0.198465368,172.2612427,0.491068373
Andhra Pradesh,potato,2012,27-02-2012,37.6,15.25,0,15.31692,337.152584,0.198465368,172.2223538,0.487398909
Andhra Pradesh,potato,2012,28-02-2012,37.79,14.25,0,15.31692,337.152584,0.198465368,172.1756871,0.482715014
Andhra Pradesh,potato,2012,29-02-2012,37.19,17.35,0,15.31692,337.152584,0.198465368,172.116216,0.476024512
Andhra Pradesh,potato,2012,01-03-2012,37.8,16.95,0,15.31692,337.152584,0.198465368,181.98875,0.526521655
Andhra Pradesh,potato,2012,02-03-2012,38.09,16.04,0,15.31692,337.152584,0.198465368,181.89,0.514067472
Andhra Pradesh,potato,2012,03-03-2012,38.15,15.59,0,15.31692,337.152584,0.198465368,181.835,0.509581432
Andhra Pradesh,potato,2012,04-03-2012,38.03,14.77,0,15.31692,337.152584,0.198465368,181.78,0.504731011
Andhra Pradesh,potato,2012,05-03-2012,37.68,17.14,0,15.31692,337.152584,0.198465368,181.71875,0.499954785
Andhra Pradesh,potato,2012,06-03-2012,37.95,18.88,0,15.31692,337.152584,0.198465368,181.6425,0.491699983
Andhra Pradesh,potato,2012,07-03-2012,38.4,18.75,0,15.31692,337.152584,0.198465368,181.5675,0.483867495
Andhra Pradesh,potato,2012,08-03-2012,37.06,17.97,0,15.31692,337.152584,0.198465368,181.51,0.48214231
Andhra Pradesh,potato,2012,09-03-2012,36.38,16.64,0,15.31692,337.152584,0.198465368,181.45625,0.478837099
Andhra Pradesh,potato,2012,10-03-2012,37.43,16.5,0,15.31692,337.152584,0.198465368,181.39625,0.475174822
Andhra Pradesh,potato,2012,11-03-2012,37.08,18.58,0,15.31692,337.152584,0.198465368,181.3225,0.469944178
Andhra Pradesh,potato,2012,12-03-2012,37.09,18.53,0,15.31692,337.152584,0.198465368,181.28125,0.467837284
Andhra Pradesh,potato,2012,13-03-2012,37.03,19.66,0.23,15.31692,337.152584,0.198465368,181.17,0.451203769
Andhra Pradesh,potato,2012,14-03-2012,37.6,20.89,0.88,15.31692,337.152584,0.198465368,181.11375,0.447108323
Andhra Pradesh,potato,2012,15-03-2012,38.19,19.77,0,15.31692,337.152584,0.198465368,181.06625,0.442317481
Andhra Pradesh,potato,2012,16-03-2012,38.19,20.41,0.06,15.31692,337.152584,0.198465368,180.96375,0.437549585
Andhra Pradesh,potato,2012,17-03-2012,38.88,20.63,0,15.31692,337.152584,0.198465368,180.89875,0.432804362
Andhra Pradesh,potato,2012,18-03-2012,39.19,20.32,0,15.31692,337.152584,0.198465368,180.84875,0.429255786
Andhra Pradesh,potato,2012,19-03-2012,39.87,20.42,0,15.31692,337.152584,0.198465368,180.78875,0.425879337
Andhra Pradesh,potato,2012,20-03-2012,40.28,20.64,0,15.31692,337.152584,0.198465368,180.74125,0.423318892
Andhra Pradesh,potato,2012,21-03-2012,39.62,20.66,0,15.31692,337.152584,0.198465368,180.71125,0.422379485
Andhra Pradesh,potato,2012,22-03-2012,39.61,21.08,0,15.31692,337.152584,0.198465368,180.6725,0.42056279
Andhra Pradesh,potato,2012,23-03-2012,39.57,21.12,0,15.31692,337.152584,0.198465368,180.62125,0.417955908
Andhra Pradesh,potato,2012,24-03-2012,39.69,19.77,0,15.31692,337.152584,0.198465368,180.5675,0.414523792
Andhra Pradesh,potato,2012,25-03-2012,39.23,18.72,0,15.31692,337.152584,0.198465368,180.51375,0.411412109
Andhra Pradesh,potato,2012,26-03-2012,38.46,18.73,0,15.31692,337.152584,0.198465368,180.46,0.40888524
Andhra Pradesh,potato,2012,27-03-2012,38.22,18.06,0,15.31692,337.152584,0.198465368,180.415,0.406648556
Andhra Pradesh,potato,2012,28-03-2012,38.4,18.49,0,15.31692,337.152584,0.198465368,180.3275,0.398196242
Andhra Pradesh,potato,2012,29-03-2012,39.29,19.2,0,15.31692,337.152584,0.198465368,180.26875,0.391576452
Andhra Pradesh,potato,2012,30-03-2012,39.72,20.79,0,15.31692,337.152584,0.198465368,180.34375,0.38619368
Andhra Pradesh,potato,2012,31-03-2012,37.76,19.92,0.12,15.31692,337.152584,0.198465368,180.1775,0.382063271
Andhra Pradesh,potato,2012,01-04-2012,37.8,20.32,0,15.31692,337.152584,0.198465368,180.12875,0.376278246
