state_key,raw_names
andhra_pradesh,Andhra Pradesh
chhattisgarh,Chhattisgarh
jharkhand,Jharkhand
karnataka,Karnataka
tamil_nadu,Tamil Nadu
telangana,Telangana
uttar_pradesh,Uttar Pradesh
uttarakhand,Uttarakhand
west_bengal,West Bengal
