year,forecast,lower_ci,upper_ci
2023,12.996695736544467,8.701696996537173,17.29169447655176
2024,12.652482878347996,7.8322398793049715,17.47272587739102
2025,12.51414241338648,7.53379066726598,17.49449415950698
