state_group,year,state_temperature_max_val,state_temperature_min_val,state_rainfall_val,yield,raw_names
jharkhand,2002,33.381875,17.881944444444443,477.86,7.433220000000001,Jharkhand
jharkhand,2003,33.237291666666664,17.805,491.3,7.851710000000001,Jharkhand
jharkhand,2004,33.05173611111111,17.354097222222222,516.99,7.66873,Jharkhand
jharkhand,2005,33.57944444444444,18.304722222222225,338.73,8.16031,Jharkhand
jharkhand,2006,33.703125,18.36576388888889,556.25,8.11702,Jharkhand
jharkhand,2007,33.310069444444444,18.362916666666667,579.03,7.00904,Jharkhand
jharkhand,2008,33.193125,18.38319444444444,427.09,6.71038,Jharkhand
jharkhand,2009,34.128680555555555,18.69569444444444,521.14,6.95192,Jharkhand
jharkhand,2010,34.28604166666666,19.00611111111111,276.11,5.78986,Jharkhand
jharkhand,2011,33.51770833333333,17.92833333333333,494.15000000000003,7.39376,Jharkhand
jharkhand,2012,33.44201388888889,18.49625,550.58,7.618619999999999,Jharkhand
jharkhand,2013,33.25340277777778,17.948125,424.05,5.8674,Jharkhand
jharkhand,2014,33.543194444444445,18.068541666666665,491.81,7.164300000000001,Jharkhand
jharkhand,2015,33.88583333333334,19.005902777777777,392.96999999999997,6.14764,Jharkhand
jharkhand,2016,34.04354166666667,19.079305555555557,602.33,9.15916,Jharkhand
jharkhand,2020,32.57555555555555,17.985555555555557,502.09,7.305450000000001,Jharkhand
